ym,ccode,gen_share,load_share
2019-03-01,LT,0.07779368279569893,0.026511962365591397
2019-03-01,LU,0.07300870295698925,0.01734485887096774
2019-03-01,LV,0.06407983870967741,0.06869852150537634
2019-03-01,NL,0.009186693548387095,0.008033602150537634
2019-03-01,NO,0.09752540322580645,0.08441922043010752
2019-03-01,PL,0.01707016129032258,0.015100537634408601
2019-03-01,PT,0.057129838709677416,0.04843844086021505
2019-03-01,RO,0.041040860215053765,0.04157943548387097
2019-03-01,SE,0.05345604838709677,0.061431317204301075
2019-03-01,SI,0.024243279569892473,0.023004301075268817
2019-03-01,SK,0.02739784946236559,NA
2019-04-01,AT,0.08117163194444445,0.08933197916666667
2019-04-01,BE,0.015362638888888887,0.016009166666666665
2019-04-01,BG,0.012663888888888888,0.015319444444444443
2019-04-01,CZ,0.0141,0.017036666666666665
2019-04-01,DE,0.04573010416666667,0.05096517361111111
2019-04-01,DK,0.06892152777777778,0.057854722222222224
2019-04-01,EE,0.018208333333333333,0.01613083333333333
2019-04-01,ES,0.04263527777777778,0.041064166666666665
2019-04-01,FI,0.039536388888888885,0.029878194444444443
2019-04-01,FR,0.01860458333333333,0.021016944444444442
2019-04-01,GR,NA,NA
2019-04-01,HR,0.07132986111111111,0.0428375
2019-04-01,HU,0.007997430555555555,0.005481979166666665
2019-04-01,IE,0.04104840277777778,0.034282430555555556
2019-04-01,IT,0.035637916666666665,0.03258194444444444
2019-04-01,LT,0.07338930555555556,0.02262111111111111
2019-04-01,LU,0.06820940972222223,0.013277465277777777
2019-04-01,LV,0.06581833333333334,0.05679541666666667
2019-04-01,NL,0.008273472222222222,0.006420972222222221
2019-04-01,NO,0.09718805555555556,0.09142611111111111
2019-04-01,PL,0.012964722222222221,0.0113525
2019-04-01,PT,0.05435375,0.051874305555555555
2019-04-01,RO,0.045200555555555556,0.04620222222222222
2019-04-01,SE,0.052297083333333334,0.06189347222222222
2019-04-01,SI,0.032845,0.03544763888888889
2019-04-01,SK,0.026002499999999998,0.023938472222222222
2019-05-01,AT,0.090465625,0.09738736559139785
2019-05-01,BE,0.015232123655913978,0.01575510752688172
2019-05-01,BG,0.020031451612903223,0.02152043010752688
2019-05-01,CZ,0.012346908602150536,0.015229704301075267
2019-05-01,DE,0.04655198252688172,0.0481275873655914
2019-05-01,DK,0.07946720430107528,0.07059637096774193
2019-05-01,EE,0.023669623655913977,0.016903897849462366
2019-05-01,ES,0.0438513440860215,0.04335524193548387
2019-05-01,FI,0.050946774193548386,0.038013709677419356
2019-05-01,FR,0.020509139784946236,0.0250508064516129
2019-05-01,GR,NA,NA
2019-05-01,HR,0.07803763440860215,0.05789274193548387
2019-05-01,HU,0.007878763440860213,0.004690793010752687
2019-05-01,IE,0.02757016129032258,0.02361518817204301
2019-05-01,IT,0.042364516129032255,0.037139516129032255
2019-05-01,LT,0.06720860215053763,0.018599059139784945
2019-05-01,LU,0.06871962365591398,0.012643077956989246
2019-05-01,LV,0.052345698924731184,0.036271908602150536
2019-05-01,NL,NA,0.005680510752688171
2019-05-01,NO,0.09720013440860215,0.09453467741935484
2019-05-01,PL,0.010739516129032256,0.009390188172043009
2019-05-01,PT,0.05207325268817204,0.04662284946236559
2019-05-01,RO,0.060234543010752685,0.06380645161290323
2019-05-01,SE,0.05507715053763441,0.06604126344086021
2019-05-01,SI,NA,0.045992473118279566
2019-05-01,SK,0.028122177419354837,0.029213709677419354
2019-06-01,AT,NA,0.10413013888888889
2019-06-01,BE,0.019580694444444442,0.019886805555555553
2019-06-01,BG,0.022641944444444444,0.025073055555555553
2019-06-01,CZ,0.01488611111111111,0.01692611111111111
2019-06-01,DE,0.04944305555555555,0.04961482638888889
2019-06-01,DK,0.07900611111111111,0.049118055555555554
2019-06-01,EE,0.03338375,0.016891805555555556
2019-06-01,ES,0.034874027777777775,0.034325138888888884
2019-06-01,FI,0.04812138888888889,0.037379305555555555
2019-06-01,FR,0.022326666666666665,0.027355138888888887
2019-06-01,GR,0.02367638888888889,0.017123194444444444
2019-06-01,HR,0.07654333333333334,0.04563277777777778
2019-06-01,HU,0.0062689236111111105,0.003861493055555555
2019-06-01,IE,NA,NA
2019-06-01,IT,0.04324486111111111,0.03800069444444444
2019-06-01,LT,0.05923083333333333,0.015411388888888888
2019-06-01,LU,0.07083697916666666,0.011717777777777777
2019-06-01,LV,0.03140847222222222,0.020888749999999998
2019-06-01,NL,0.006782638888888888,0.0049211111111111105
2019-06-01,NO,0.09705013888888889,0.09913722222222222
2019-06-01,PL,0.009271527777777776,0.007957638888888887
2019-06-01,PT,0.03754722222222222,0.03446986111111111
2019-06-01,RO,0.05720972222222222,0.06276263888888889
2019-06-01,SE,0.050561388888888885,0.06973166666666666
2019-06-01,SI,NA,0.0488425
2019-06-01,SK,0.031006805555555555,0.029782916666666666
2019-07-01,AT,0.07947889784946237,0.07655383064516129
2019-07-01,BE,0.015844354838709676,0.01741451612903226
2019-07-01,BG,0.013038037634408601,0.01562258064516129
2019-07-01,CZ,0.014870698924731182,0.016014650537634408
2019-07-01,DE,0.043623891129032255,0.04342106854838709
2019-07-01,DK,0.07688198924731182,0.05224435483870968
2019-07-01,EE,0.030609274193548384,0.014758870967741934
2019-07-01,ES,0.031086290322580645,0.030589247311827956
2019-07-01,FI,0.0400635752688172,0.02934556451612903
2019-07-01,FR,0.018733602150537633,0.02190524193548387
2019-07-01,GR,0.021881720430107526,0.015963575268817202
2019-07-01,HR,0.06205201612903226,0.03038091397849462
2019-07-01,HU,0.005420026881720429,0.004046639784946236
2019-07-01,IE,0.02579670698924731,0.02148877688172043
2019-07-01,IT,0.0369247311827957,0.03260497311827957
2019-07-01,LT,0.057303360215053764,0.01652822580645161
2019-07-01,LU,0.0762607190860215,0.01297711693548387
2019-07-01,LV,NA,NA
2019-07-01,NL,0.005704973118279569,0.004947177419354838
2019-07-01,NO,0.09734663978494623,0.11015793010752688
2019-07-01,PL,0.010094489247311827,0.00864529569892473
2019-07-01,PT,0.034755779569892474,0.032606854838709676
2019-07-01,RO,0.03978817204301075,0.03852997311827957
2019-07-01,SE,0.052226478494623654,0.06777567204301076
2019-07-01,SI,NA,0.030331989247311827
2019-07-01,SK,0.021182258064516127,0.01959032258064516
2019-08-01,AT,0.07707755376344086,0.07208215725806452
2019-08-01,BE,0.01683844086021505,0.020629032258064516
2019-08-01,BG,0.01309260752688172,0.016086155913978495
2019-08-01,CZ,0.01261491935483871,0.015075403225806451
2019-08-01,DE,0.043119321236559136,0.04276834677419355
2019-08-01,DK,0.07204045698924731,0.04264247311827957
2019-08-01,EE,0.02727755376344086,0.016207123655913976
2019-08-01,ES,0.029336155913978493,0.029184677419354838
2019-08-01,FI,0.03965282258064516,0.025648521505376342
2019-08-01,FR,0.018383870967741935,0.021854166666666664
2019-08-01,GR,0.028898387096774194,0.021986155913978494
2019-08-01,HR,0.05540241935483871,0.02761263440860215
2019-08-01,HU,NA,NA
2019-08-01,IE,NA,NA
2019-08-01,IT,0.03596989247311828,0.03307217741935484
2019-08-01,LT,NA,NA
2019-08-01,LU,0.07440302419354838,0.012738911290322579
2019-08-01,LV,0.024194086021505374,0.020939784946236557
2019-08-01,NL,0.0068690860215053755,0.006031317204301075
2019-08-01,NO,0.09739852150537634,0.11113548387096774
2019-08-01,PL,0.00741034946236559,0.006414919354838709
2019-08-01,PT,0.044667204301075264,0.0383135752688172
2019-08-01,RO,0.03675940860215054,0.03343938172043011
2019-08-01,SE,0.0477252688172043,0.05339368279569892
2019-08-01,SI,0.02604301075268817,0.027263844086021505
2019-08-01,SK,0.01931317204301075,0.019131720430107527
2019-09-01,AT,0.07039267361111111,0.06274885416666666
2019-09-01,BE,0.01687472222222222,0.020576944444444443
2019-09-01,BG,0.01078986111111111,0.012872916666666666
2019-09-01,CZ,0.011137916666666666,0.014140416666666666
2019-09-01,DE,0.04490416666666667,0.04623774305555555
2019-09-01,DK,0.07915097222222223,0.06517305555555555
2019-09-01,EE,0.028301805555555556,0.020189027777777778
2019-09-01,ES,0.0335,0.034041388888888885
2019-09-01,FI,0.03866833333333333,0.025432777777777776
2019-09-01,FR,0.01716833333333333,0.019876249999999998
2019-09-01,GR,0.025153055555555554,0.019191944444444442
2019-09-01,HR,0.05406930555555555,0.027425277777777778
2019-09-01,HU,0.0061619791666666654,0.004540659722222222
2019-09-01,IE,NA,NA
2019-09-01,IT,0.03197611111111111,0.028579305555555556
2019-09-01,LT,0.058153055555555555,0.01890722222222222
2019-09-01,LU,0.07575013888888889,0.013577430555555554
2019-09-01,LV,0.021917083333333334,0.020896388888888888
2019-09-01,NL,0.007383611111111111,0.006685694444444444
2019-09-01,NO,0.09769638888888889,0.11248583333333333
2019-09-01,PL,0.01267361111111111,0.010964722222222221
2019-09-01,PT,0.048001388888888885,0.04199625
2019-09-01,RO,0.03444916666666666,0.030836666666666665
2019-09-01,SE,0.05536583333333333,0.06232097222222222
2019-09-01,SI,NA,0.0267475
2019-09-01,SK,0.016658888888888886,0.01517875
2019-10-01,AT,0.06077819220430108,0.05211854838709677
2019-10-01,BE,0.016817204301075268,0.01857056451612903
2019-10-01,BG,0.009166801075268816,0.010569086021505376
2019-10-01,CZ,0.009980376344086021,0.013161290322580644
2019-10-01,DE,0.04334700940860215,0.04735245295698925
2019-10-01,DK,0.07484166666666667,0.06205819892473118
2019-10-01,EE,NA,NA
2019-10-01,ES,0.032183198924731184,0.03194341397849462
2019-10-01,FI,0.032584677419354835,0.023367069892473117
2019-10-01,FR,0.018643951612903224,0.0211005376344086
2019-10-01,GR,0.022289112903225806,0.017341397849462363
2019-10-01,HR,0.04191975806451613,0.02670268817204301
2019-10-01,HU,0.009036323924731181,0.007632056451612902
