Tipo de residuo;Tipo de tratamiento;Clase de peligrosidad;periodo;Total
TOTAL;Total;TOTAL GENERAL;2019;115.879.816
TOTAL;Total;TOTAL GENERAL;2018;121.957.556
TOTAL;Total;TOTAL GENERAL;2017;115.486.295
TOTAL;Total;TOTAL GENERAL;2016;106.715.259
TOTAL;Total;TOTAL GENERAL;2015;107.775.845
TOTAL;Total;TOTAL GENERAL;2014;103.397.339
TOTAL;Total;TOTAL GENERAL;2013;97.302.470
TOTAL;Total;TOTAL GENERAL;2012;108.475.037
TOTAL;Total;TOTAL GENERAL;2011;112.788.703
TOTAL;Total;TOTAL GENERAL;2010;132.687.982
01.1. Disolventes usados;Recuperación;NO PELIGROSO;2020;..
01.1. Disolventes usados;Recuperación;NO PELIGROSO;2019;..
01.1. Disolventes usados;Recuperación;NO PELIGROSO;2018;..
01.1. Disolventes usados;Recuperación;NO PELIGROSO;2017;..
01.1. Disolventes usados;Recuperación;NO PELIGROSO;2016;..
01.1. Disolventes usados;Recuperación;NO PELIGROSO;2015;..
01.1. Disolventes usados;Recuperación;NO PELIGROSO;2014;..
01.1. Disolventes usados;Recuperación;NO PELIGROSO;2013;..
01.1. Disolventes usados;Recuperación;NO PELIGROSO;2012;..
01.1. Disolventes usados;Recuperación;NO PELIGROSO;2011;..
01.1. Disolventes usados;Recuperación;NO PELIGROSO;2010;0
01.1. Disolventes usados;Recuperación;PELIGROSO;2020;100.307
01.1. Disolventes usados;Recuperación;PELIGROSO;2019;134.657
01.1. Disolventes usados;Recuperación;PELIGROSO;2018;118.012
01.1. Disolventes usados;Recuperación;PELIGROSO;2017;113.945
01.1. Disolventes usados;Recuperación;PELIGROSO;2016;121.544
01.1. Disolventes usados;Recuperación;PELIGROSO;2015;118.152
01.1. Disolventes usados;Recuperación;PELIGROSO;2014;114.620
01.1. Disolventes usados;Recuperación;PELIGROSO;2013;152.297
01.1. Disolventes usados;Recuperación;PELIGROSO;2012;153.673
01.1. Disolventes usados;Recuperación;PELIGROSO;2011;123.149
01.1. Disolventes usados;Recuperación;PELIGROSO;2010;129.810
01.1. Disolventes usados;Recuperación;TOTAL GENERAL;2020;100.307
01.1. Disolventes usados;Recuperación;TOTAL GENERAL;2019;134.657
01.1. Disolventes usados;Recuperación;TOTAL GENERAL;2018;118.012
01.1. Disolventes usados;Recuperación;TOTAL GENERAL;2017;113.945
01.1. Disolventes usados;Recuperación;TOTAL GENERAL;2016;121.544
01.1. Disolventes usados;Recuperación;TOTAL GENERAL;2015;118.152
01.1. Disolventes usados;Recuperación;TOTAL GENERAL;2014;114.620
01.1. Disolventes usados;Recuperación;TOTAL GENERAL;2013;152.297
01.1. Disolventes usados;Recuperación;TOTAL GENERAL;2012;153.673
01.1. Disolventes usados;Recuperación;TOTAL GENERAL;2011;123.149
01.1. Disolventes usados;Recuperación;TOTAL GENERAL;2010;129.810
01.1. Disolventes usados;Operaciones de relleno;NO PELIGROSO;2020;..
01.1. Disolventes usados;Operaciones de relleno;NO PELIGROSO;2019;..
01.1. Disolventes usados;Operaciones de relleno;NO PELIGROSO;2018;..
01.1. Disolventes usados;Operaciones de relleno;NO PELIGROSO;2017;..
01.1. Disolventes usados;Operaciones de relleno;NO PELIGROSO;2016;..
01.1. Disolventes usados;Operaciones de relleno;NO PELIGROSO;2015;..
01.1. Disolventes usados;Operaciones de relleno;NO PELIGROSO;2014;..
01.1. Disolventes usados;Operaciones de relleno;NO PELIGROSO;2013;..
01.1. Disolventes usados;Operaciones de relleno;NO PELIGROSO;2012;..
01.1. Disolventes usados;Operaciones de relleno;NO PELIGROSO;2011;..
01.1. Disolventes usados;Operaciones de relleno;NO PELIGROSO;2010;0
01.1. Disolventes usados;Operaciones de relleno;PELIGROSO;2020;0
01.1. Disolventes usados;Operaciones de relleno;PELIGROSO;2019;0
01.1. Disolventes usados;Operaciones de relleno;PELIGROSO;2018;0
01.1. Disolventes usados;Operaciones de relleno;PELIGROSO;2017;0
