Tipo de residuo;Tipo de tratamiento;Clase de peligrosidad;periodo;Total
08.41. Residuos de pilas y acumuladores;Incineración;NO PELIGROSO;2010;0
08.41. Residuos de pilas y acumuladores;Incineración;PELIGROSO;2020;0
08.41. Residuos de pilas y acumuladores;Incineración;PELIGROSO;2019;0
08.41. Residuos de pilas y acumuladores;Incineración;PELIGROSO;2018;0
08.41. Residuos de pilas y acumuladores;Incineración;PELIGROSO;2017;0
08.41. Residuos de pilas y acumuladores;Incineración;PELIGROSO;2016;0
08.41. Residuos de pilas y acumuladores;Incineración;PELIGROSO;2015;0
08.41. Residuos de pilas y acumuladores;Incineración;PELIGROSO;2014;0
08.41. Residuos de pilas y acumuladores;Incineración;PELIGROSO;2013;0
08.41. Residuos de pilas y acumuladores;Incineración;PELIGROSO;2012;0
08.41. Residuos de pilas y acumuladores;Incineración;PELIGROSO;2011;0
08.41. Residuos de pilas y acumuladores;Incineración;PELIGROSO;2010;0
08.41. Residuos de pilas y acumuladores;Incineración;TOTAL GENERAL;2020;0
08.41. Residuos de pilas y acumuladores;Incineración;TOTAL GENERAL;2019;0
08.41. Residuos de pilas y acumuladores;Incineración;TOTAL GENERAL;2018;0
08.41. Residuos de pilas y acumuladores;Incineración;TOTAL GENERAL;2017;0
08.41. Residuos de pilas y acumuladores;Incineración;TOTAL GENERAL;2016;0
08.41. Residuos de pilas y acumuladores;Incineración;TOTAL GENERAL;2015;0
08.41. Residuos de pilas y acumuladores;Incineración;TOTAL GENERAL;2014;0
08.41. Residuos de pilas y acumuladores;Incineración;TOTAL GENERAL;2013;0
08.41. Residuos de pilas y acumuladores;Incineración;TOTAL GENERAL;2012;0
08.41. Residuos de pilas y acumuladores;Incineración;TOTAL GENERAL;2011;0
08.41. Residuos de pilas y acumuladores;Incineración;TOTAL GENERAL;2010;0
08.41. Residuos de pilas y acumuladores;Total;NO PELIGROSO;2020;5.454
08.41. Residuos de pilas y acumuladores;Total;NO PELIGROSO;2019;5.469
08.41. Residuos de pilas y acumuladores;Total;NO PELIGROSO;2018;5.460
08.41. Residuos de pilas y acumuladores;Total;NO PELIGROSO;2017;4.528
08.41. Residuos de pilas y acumuladores;Total;NO PELIGROSO;2016;6.861
08.41. Residuos de pilas y acumuladores;Total;NO PELIGROSO;2015;2.104
08.41. Residuos de pilas y acumuladores;Total;NO PELIGROSO;2014;72
08.41. Residuos de pilas y acumuladores;Total;NO PELIGROSO;2013;6.158
08.41. Residuos de pilas y acumuladores;Total;NO PELIGROSO;2012;4.394
08.41. Residuos de pilas y acumuladores;Total;NO PELIGROSO;2011;8.109
08.41. Residuos de pilas y acumuladores;Total;NO PELIGROSO;2010;3.087
08.41. Residuos de pilas y acumuladores;Total;PELIGROSO;2020;270.448
08.41. Residuos de pilas y acumuladores;Total;PELIGROSO;2019;235.237
08.41. Residuos de pilas y acumuladores;Total;PELIGROSO;2018;234.537
08.41. Residuos de pilas y acumuladores;Total;PELIGROSO;2017;235.561
08.41. Residuos de pilas y acumuladores;Total;PELIGROSO;2016;225.619
08.41. Residuos de pilas y acumuladores;Total;PELIGROSO;2015;225.718
08.41. Residuos de pilas y acumuladores;Total;PELIGROSO;2014;214.049
08.41. Residuos de pilas y acumuladores;Total;PELIGROSO;2013;211.999
08.41. Residuos de pilas y acumuladores;Total;PELIGROSO;2012;229.891
08.41. Residuos de pilas y acumuladores;Total;PELIGROSO;2011;255.887
08.41. Residuos de pilas y acumuladores;Total;PELIGROSO;2010;215.638
08.41. Residuos de pilas y acumuladores;Total;TOTAL GENERAL;2020;275.902
08.41. Residuos de pilas y acumuladores;Total;TOTAL GENERAL;2019;240.706
08.41. Residuos de pilas y acumuladores;Total;TOTAL GENERAL;2018;239.997
08.41. Residuos de pilas y acumuladores;Total;TOTAL GENERAL;2017;240.089
08.41. Residuos de pilas y acumuladores;Total;TOTAL GENERAL;2016;232.480
08.41. Residuos de pilas y acumuladores;Total;TOTAL GENERAL;2015;227.822
08.41. Residuos de pilas y acumuladores;Total;TOTAL GENERAL;2014;214.121
08.41. Residuos de pilas y acumuladores;Total;TOTAL GENERAL;2013;218.157
08.41. Residuos de pilas y acumuladores;Total;TOTAL GENERAL;2012;234.285
08.41. Residuos de pilas y acumuladores;Total;TOTAL GENERAL;2011;263.996
08.41. Residuos de pilas y acumuladores;Total;TOTAL GENERAL;2010;218.725
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;NO PELIGROSO;2020;848.749
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;NO PELIGROSO;2019;873.329
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;NO PELIGROSO;2018;743.733
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;NO PELIGROSO;2017;1.009.777
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;NO PELIGROSO;2016;863.743
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;NO PELIGROSO;2015;1.029.640
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;NO PELIGROSO;2014;1.099.342
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;NO PELIGROSO;2013;1.604.815
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;NO PELIGROSO;2012;1.359.429
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;NO PELIGROSO;2011;2.552.984
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;NO PELIGROSO;2010;7.692.243
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;PELIGROSO;2020;..
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;PELIGROSO;2019;..
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;PELIGROSO;2018;..
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;PELIGROSO;2017;..
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;PELIGROSO;2016;..
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;PELIGROSO;2015;..
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;PELIGROSO;2014;..
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;PELIGROSO;2013;..
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;PELIGROSO;2012;..
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;PELIGROSO;2011;..
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;PELIGROSO;2010;0
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;TOTAL GENERAL;2020;848.749
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;TOTAL GENERAL;2019;873.329
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;TOTAL GENERAL;2018;743.733
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;TOTAL GENERAL;2017;1.009.777
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;TOTAL GENERAL;2016;863.743
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;TOTAL GENERAL;2015;1.029.640
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;TOTAL GENERAL;2014;1.099.342
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;TOTAL GENERAL;2013;1.604.815
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;TOTAL GENERAL;2012;1.359.429
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;TOTAL GENERAL;2011;2.552.984
09.1. Residuos animales y de productos alimenticios mezclados;Recuperación;TOTAL GENERAL;2010;7.692.243
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;NO PELIGROSO;2020;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;NO PELIGROSO;2019;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;NO PELIGROSO;2018;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;NO PELIGROSO;2017;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;NO PELIGROSO;2016;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;NO PELIGROSO;2015;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;NO PELIGROSO;2014;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;NO PELIGROSO;2013;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;NO PELIGROSO;2012;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;NO PELIGROSO;2011;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;NO PELIGROSO;2010;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;PELIGROSO;2020;..
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;PELIGROSO;2019;..
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;PELIGROSO;2018;..
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;PELIGROSO;2017;..
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;PELIGROSO;2016;..
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;PELIGROSO;2015;..
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;PELIGROSO;2014;..
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;PELIGROSO;2013;..
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;PELIGROSO;2012;..
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;PELIGROSO;2011;..
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;PELIGROSO;2010;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;TOTAL GENERAL;2020;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;TOTAL GENERAL;2019;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;TOTAL GENERAL;2018;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;TOTAL GENERAL;2017;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;TOTAL GENERAL;2016;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;TOTAL GENERAL;2015;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;TOTAL GENERAL;2014;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;TOTAL GENERAL;2013;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;TOTAL GENERAL;2012;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;TOTAL GENERAL;2011;0
09.1. Residuos animales y de productos alimenticios mezclados;Operaciones de relleno;TOTAL GENERAL;2010;0
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;NO PELIGROSO;2020;11.751
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;NO PELIGROSO;2019;11.892
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;NO PELIGROSO;2018;11.396
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;NO PELIGROSO;2017;11.532
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;NO PELIGROSO;2016;17.623
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;NO PELIGROSO;2015;71.746
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;NO PELIGROSO;2014;61.977
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;NO PELIGROSO;2013;94.544
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;NO PELIGROSO;2012;61.286
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;NO PELIGROSO;2011;156.194
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;NO PELIGROSO;2010;154.650
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;PELIGROSO;2020;..
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;PELIGROSO;2019;..
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;PELIGROSO;2018;..
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;PELIGROSO;2017;..
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;PELIGROSO;2016;..
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;PELIGROSO;2015;..
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;PELIGROSO;2014;..
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;PELIGROSO;2013;..
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;PELIGROSO;2012;..
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;PELIGROSO;2011;..
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;PELIGROSO;2010;0
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;TOTAL GENERAL;2020;11.751
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;TOTAL GENERAL;2019;11.892
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;TOTAL GENERAL;2018;11.396
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;TOTAL GENERAL;2017;11.532
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;TOTAL GENERAL;2016;17.623
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;TOTAL GENERAL;2015;71.746
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;TOTAL GENERAL;2014;61.977
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;TOTAL GENERAL;2013;94.544
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;TOTAL GENERAL;2012;61.286
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;TOTAL GENERAL;2011;156.194
09.1. Residuos animales y de productos alimenticios mezclados;Vertido;TOTAL GENERAL;2010;154.650
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;NO PELIGROSO;2020;69.737
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;NO PELIGROSO;2019;64.939
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;NO PELIGROSO;2018;50.846
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;NO PELIGROSO;2017;63.598
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;NO PELIGROSO;2016;51.330
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;NO PELIGROSO;2015;81.176
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;NO PELIGROSO;2014;70.052
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;NO PELIGROSO;2013;82.974
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;NO PELIGROSO;2012;65.342
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;NO PELIGROSO;2011;288.687
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;NO PELIGROSO;2010;43.397
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;PELIGROSO;2020;..
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;PELIGROSO;2019;..
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;PELIGROSO;2018;..
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;PELIGROSO;2017;..
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;PELIGROSO;2016;..
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;PELIGROSO;2015;..
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;PELIGROSO;2014;..
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;PELIGROSO;2013;..
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;PELIGROSO;2012;..
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;PELIGROSO;2011;..
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;PELIGROSO;2010;0
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;TOTAL GENERAL;2020;69.737
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;TOTAL GENERAL;2019;64.939
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;TOTAL GENERAL;2018;50.846
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;TOTAL GENERAL;2017;63.598
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;TOTAL GENERAL;2016;51.330
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;TOTAL GENERAL;2015;81.176
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;TOTAL GENERAL;2014;70.052
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;TOTAL GENERAL;2013;82.974
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;TOTAL GENERAL;2012;65.342
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;TOTAL GENERAL;2011;288.687
09.1. Residuos animales y de productos alimenticios mezclados;Incineración;TOTAL GENERAL;2010;43.397
09.1. Residuos animales y de productos alimenticios mezclados;Total;NO PELIGROSO;2020;930.237
09.1. Residuos animales y de productos alimenticios mezclados;Total;NO PELIGROSO;2019;950.160
09.1. Residuos animales y de productos alimenticios mezclados;Total;NO PELIGROSO;2018;805.975
09.1. Residuos animales y de productos alimenticios mezclados;Total;NO PELIGROSO;2017;1.084.907
09.1. Residuos animales y de productos alimenticios mezclados;Total;NO PELIGROSO;2016;932.696
09.1. Residuos animales y de productos alimenticios mezclados;Total;NO PELIGROSO;2015;1.182.562
09.1. Residuos animales y de productos alimenticios mezclados;Total;NO PELIGROSO;2014;1.231.371
09.1. Residuos animales y de productos alimenticios mezclados;Total;NO PELIGROSO;2013;1.782.333
09.1. Residuos animales y de productos alimenticios mezclados;Total;NO PELIGROSO;2012;1.486.057
09.1. Residuos animales y de productos alimenticios mezclados;Total;NO PELIGROSO;2011;2.997.865
09.1. Residuos animales y de productos alimenticios mezclados;Total;NO PELIGROSO;2010;7.890.290
09.1. Residuos animales y de productos alimenticios mezclados;Total;PELIGROSO;2020;..
09.1. Residuos animales y de productos alimenticios mezclados;Total;PELIGROSO;2019;..
09.1. Residuos animales y de productos alimenticios mezclados;Total;PELIGROSO;2018;..
09.1. Residuos animales y de productos alimenticios mezclados;Total;PELIGROSO;2017;..
09.1. Residuos animales y de productos alimenticios mezclados;Total;PELIGROSO;2016;..
09.1. Residuos animales y de productos alimenticios mezclados;Total;PELIGROSO;2015;..
09.1. Residuos animales y de productos alimenticios mezclados;Total;PELIGROSO;2014;..
09.1. Residuos animales y de productos alimenticios mezclados;Total;PELIGROSO;2013;..
09.1. Residuos animales y de productos alimenticios mezclados;Total;PELIGROSO;2012;..
09.1. Residuos animales y de productos alimenticios mezclados;Total;PELIGROSO;2011;..
09.1. Residuos animales y de productos alimenticios mezclados;Total;PELIGROSO;2010;0
09.1. Residuos animales y de productos alimenticios mezclados;Total;TOTAL GENERAL;2020;930.237
09.1. Residuos animales y de productos alimenticios mezclados;Total;TOTAL GENERAL;2019;950.160
09.1. Residuos animales y de productos alimenticios mezclados;Total;TOTAL GENERAL;2018;805.975
09.1. Residuos animales y de productos alimenticios mezclados;Total;TOTAL GENERAL;2017;1.084.907
09.1. Residuos animales y de productos alimenticios mezclados;Total;TOTAL GENERAL;2016;932.696
09.1. Residuos animales y de productos alimenticios mezclados;Total;TOTAL GENERAL;2015;1.182.562
09.1. Residuos animales y de productos alimenticios mezclados;Total;TOTAL GENERAL;2014;1.231.371
09.1. Residuos animales y de productos alimenticios mezclados;Total;TOTAL GENERAL;2013;1.782.333
09.1. Residuos animales y de productos alimenticios mezclados;Total;TOTAL GENERAL;2012;1.486.057
09.1. Residuos animales y de productos alimenticios mezclados;Total;TOTAL GENERAL;2011;2.997.865
09.1. Residuos animales y de productos alimenticios mezclados;Total;TOTAL GENERAL;2010;7.890.290
09.2. Residuos vegetales;Recuperación;NO PELIGROSO;2020;822.019
09.2. Residuos vegetales;Recuperación;NO PELIGROSO;2019;692.510
09.2. Residuos vegetales;Recuperación;NO PELIGROSO;2018;866.395
09.2. Residuos vegetales;Recuperación;NO PELIGROSO;2017;510.298
09.2. Residuos vegetales;Recuperación;NO PELIGROSO;2016;668.290
09.2. Residuos vegetales;Recuperación;NO PELIGROSO;2015;581.737
09.2. Residuos vegetales;Recuperación;NO PELIGROSO;2014;636.240
09.2. Residuos vegetales;Recuperación;NO PELIGROSO;2013;511.574
09.2. Residuos vegetales;Recuperación;NO PELIGROSO;2012;377.242
09.2. Residuos vegetales;Recuperación;NO PELIGROSO;2011;558.474
09.2. Residuos vegetales;Recuperación;NO PELIGROSO;2010;783.071
09.2. Residuos vegetales;Recuperación;PELIGROSO;2020;..
09.2. Residuos vegetales;Recuperación;PELIGROSO;2019;..
09.2. Residuos vegetales;Recuperación;PELIGROSO;2018;..
09.2. Residuos vegetales;Recuperación;PELIGROSO;2017;..
09.2. Residuos vegetales;Recuperación;PELIGROSO;2016;..
09.2. Residuos vegetales;Recuperación;PELIGROSO;2015;..
09.2. Residuos vegetales;Recuperación;PELIGROSO;2014;..
09.2. Residuos vegetales;Recuperación;PELIGROSO;2013;..
09.2. Residuos vegetales;Recuperación;PELIGROSO;2012;..
09.2. Residuos vegetales;Recuperación;PELIGROSO;2011;..
09.2. Residuos vegetales;Recuperación;PELIGROSO;2010;0
09.2. Residuos vegetales;Recuperación;TOTAL GENERAL;2020;822.019
09.2. Residuos vegetales;Recuperación;TOTAL GENERAL;2019;692.510
09.2. Residuos vegetales;Recuperación;TOTAL GENERAL;2018;866.395
09.2. Residuos vegetales;Recuperación;TOTAL GENERAL;2017;510.298
09.2. Residuos vegetales;Recuperación;TOTAL GENERAL;2016;668.290
09.2. Residuos vegetales;Recuperación;TOTAL GENERAL;2015;581.737
09.2. Residuos vegetales;Recuperación;TOTAL GENERAL;2014;636.240
09.2. Residuos vegetales;Recuperación;TOTAL GENERAL;2013;511.574
09.2. Residuos vegetales;Recuperación;TOTAL GENERAL;2012;377.242
09.2. Residuos vegetales;Recuperación;TOTAL GENERAL;2011;558.474
09.2. Residuos vegetales;Recuperación;TOTAL GENERAL;2010;783.071
09.2. Residuos vegetales;Operaciones de relleno;NO PELIGROSO;2020;0
09.2. Residuos vegetales;Operaciones de relleno;NO PELIGROSO;2019;0
09.2. Residuos vegetales;Operaciones de relleno;NO PELIGROSO;2018;0
09.2. Residuos vegetales;Operaciones de relleno;NO PELIGROSO;2017;0
09.2. Residuos vegetales;Operaciones de relleno;NO PELIGROSO;2016;0
09.2. Residuos vegetales;Operaciones de relleno;NO PELIGROSO;2015;0
09.2. Residuos vegetales;Operaciones de relleno;NO PELIGROSO;2014;18
09.2. Residuos vegetales;Operaciones de relleno;NO PELIGROSO;2013;0
09.2. Residuos vegetales;Operaciones de relleno;NO PELIGROSO;2012;0
09.2. Residuos vegetales;Operaciones de relleno;NO PELIGROSO;2011;0
09.2. Residuos vegetales;Operaciones de relleno;NO PELIGROSO;2010;0
09.2. Residuos vegetales;Operaciones de relleno;PELIGROSO;2020;..
09.2. Residuos vegetales;Operaciones de relleno;PELIGROSO;2019;..
09.2. Residuos vegetales;Operaciones de relleno;PELIGROSO;2018;..
09.2. Residuos vegetales;Operaciones de relleno;PELIGROSO;2017;..
09.2. Residuos vegetales;Operaciones de relleno;PELIGROSO;2016;..
09.2. Residuos vegetales;Operaciones de relleno;PELIGROSO;2015;..
09.2. Residuos vegetales;Operaciones de relleno;PELIGROSO;2014;..
09.2. Residuos vegetales;Operaciones de relleno;PELIGROSO;2013;..
09.2. Residuos vegetales;Operaciones de relleno;PELIGROSO;2012;..
09.2. Residuos vegetales;Operaciones de relleno;PELIGROSO;2011;..
09.2. Residuos vegetales;Operaciones de relleno;PELIGROSO;2010;0
09.2. Residuos vegetales;Operaciones de relleno;TOTAL GENERAL;2020;0
09.2. Residuos vegetales;Operaciones de relleno;TOTAL GENERAL;2019;0
09.2. Residuos vegetales;Operaciones de relleno;TOTAL GENERAL;2018;0
09.2. Residuos vegetales;Operaciones de relleno;TOTAL GENERAL;2017;0
09.2. Residuos vegetales;Operaciones de relleno;TOTAL GENERAL;2016;0
09.2. Residuos vegetales;Operaciones de relleno;TOTAL GENERAL;2015;0
09.2. Residuos vegetales;Operaciones de relleno;TOTAL GENERAL;2014;18
09.2. Residuos vegetales;Operaciones de relleno;TOTAL GENERAL;2013;0
09.2. Residuos vegetales;Operaciones de relleno;TOTAL GENERAL;2012;0
09.2. Residuos vegetales;Operaciones de relleno;TOTAL GENERAL;2011;0
09.2. Residuos vegetales;Operaciones de relleno;TOTAL GENERAL;2010;0
09.2. Residuos vegetales;Vertido;NO PELIGROSO;2020;47.442
09.2. Residuos vegetales;Vertido;NO PELIGROSO;2019;63.149
09.2. Residuos vegetales;Vertido;NO PELIGROSO;2018;83.523
09.2. Residuos vegetales;Vertido;NO PELIGROSO;2017;44.850
09.2. Residuos vegetales;Vertido;NO PELIGROSO;2016;31.012
09.2. Residuos vegetales;Vertido;NO PELIGROSO;2015;74.172
09.2. Residuos vegetales;Vertido;NO PELIGROSO;2014;23.901
09.2. Residuos vegetales;Vertido;NO PELIGROSO;2013;16.009
09.2. Residuos vegetales;Vertido;NO PELIGROSO;2012;17.204
09.2. Residuos vegetales;Vertido;NO PELIGROSO;2011;81.858
09.2. Residuos vegetales;Vertido;NO PELIGROSO;2010;71.619
09.2. Residuos vegetales;Vertido;PELIGROSO;2020;..
09.2. Residuos vegetales;Vertido;PELIGROSO;2019;..
09.2. Residuos vegetales;Vertido;PELIGROSO;2018;..
09.2. Residuos vegetales;Vertido;PELIGROSO;2017;..
09.2. Residuos vegetales;Vertido;PELIGROSO;2016;..
09.2. Residuos vegetales;Vertido;PELIGROSO;2015;..
09.2. Residuos vegetales;Vertido;PELIGROSO;2014;..
09.2. Residuos vegetales;Vertido;PELIGROSO;2013;..
09.2. Residuos vegetales;Vertido;PELIGROSO;2012;..
09.2. Residuos vegetales;Vertido;PELIGROSO;2011;..
09.2. Residuos vegetales;Vertido;PELIGROSO;2010;0
09.2. Residuos vegetales;Vertido;TOTAL GENERAL;2020;47.442
09.2. Residuos vegetales;Vertido;TOTAL GENERAL;2019;63.149
09.2. Residuos vegetales;Vertido;TOTAL GENERAL;2018;83.523
09.2. Residuos vegetales;Vertido;TOTAL GENERAL;2017;44.850
09.2. Residuos vegetales;Vertido;TOTAL GENERAL;2016;31.012
09.2. Residuos vegetales;Vertido;TOTAL GENERAL;2015;74.172
09.2. Residuos vegetales;Vertido;TOTAL GENERAL;2014;23.901
09.2. Residuos vegetales;Vertido;TOTAL GENERAL;2013;16.009
09.2. Residuos vegetales;Vertido;TOTAL GENERAL;2012;17.204
09.2. Residuos vegetales;Vertido;TOTAL GENERAL;2011;81.858
09.2. Residuos vegetales;Vertido;TOTAL GENERAL;2010;71.619
09.2. Residuos vegetales;Incineración;NO PELIGROSO;2020;23.727
09.2. Residuos vegetales;Incineración;NO PELIGROSO;2019;30.307
09.2. Residuos vegetales;Incineración;NO PELIGROSO;2018;18.635
09.2. Residuos vegetales;Incineración;NO PELIGROSO;2017;17.502
09.2. Residuos vegetales;Incineración;NO PELIGROSO;2016;22.614
09.2. Residuos vegetales;Incineración;NO PELIGROSO;2015;20.671
09.2. Residuos vegetales;Incineración;NO PELIGROSO;2014;26.555
09.2. Residuos vegetales;Incineración;NO PELIGROSO;2013;34.552
09.2. Residuos vegetales;Incineración;NO PELIGROSO;2012;35.078
09.2. Residuos vegetales;Incineración;NO PELIGROSO;2011;16.863
09.2. Residuos vegetales;Incineración;NO PELIGROSO;2010;7.153
09.2. Residuos vegetales;Incineración;PELIGROSO;2020;..
09.2. Residuos vegetales;Incineración;PELIGROSO;2019;..
09.2. Residuos vegetales;Incineración;PELIGROSO;2018;..
09.2. Residuos vegetales;Incineración;PELIGROSO;2017;..
09.2. Residuos vegetales;Incineración;PELIGROSO;2016;..
09.2. Residuos vegetales;Incineración;PELIGROSO;2015;..
09.2. Residuos vegetales;Incineración;PELIGROSO;2014;..
09.2. Residuos vegetales;Incineración;PELIGROSO;2013;..
09.2. Residuos vegetales;Incineración;PELIGROSO;2012;..
09.2. Residuos vegetales;Incineración;PELIGROSO;2011;..
